Region name, vol P1, vol P2, vol P3, avg_P, vol LD1, vol LD2, vol LD3, avg_LD, vol HD1, vol HD2, vol HD3, avg HD, st LD, pv LD, st HD, pv HD
 Brain stem, 0.268803, 0.0649815, 0.0856604, 0.139815, 0.113288, 0.178101, 0.206575, 0.165988, 0.144129, 0.0934084, 0.0518986, 0.0964787, 0.455289, 0.672519, -0.757738, 0.490796
 Hippocampus, 0.32809, 0.155947, 0.17972, 0.221252, 0.179179, 0.148434, 0.196042, 0.174552, 0.186389, 0.0879797, 0.0444475, 0.106272, -1.02812, 0.361997, -2.06217, 0.108187
 Hypothalamus, 0.038914, 0.0106032, 0.0103808, 0.019966, 0.0141056, 0.0232415, 0.0430921, 0.0268131, 0.0111786, 0.00678641, 0.00615207, 0.00803904, 0.656899, 0.547119, -1.5208, 0.202951
 Cortex, 1.14658, 0.942432, 0.73253, 0.940513, 1.18956, 0.523068, 0.611326, 0.774651, 0.682091, 0.461838, 0.0998069, 0.414579, -0.843684, 0.446346, -3.10269, 0.0361268
 Thalamus, 0.0989737, 0.0585238, 0.0305725, 0.06269, 0.0738152, 0.0622199, 0.0878291, 0.0746214, 0.0622171, 0.0168949, 0.0299751, 0.0363623, 0.689585, 0.528375, -1.34399, 0.250121
 
