Group     Sample                CB         HB        HPF         HY         IC         TH
P         840298_16_P_17      976515    2038137    4891259     332569   29559254    1835593
P         840298_50_P_19      774752    2686728    5636888     325592   22975713     958904
P         840298_52_P_20     2833624    8430983   10290508    1220532   35962266    3104299
LD        340258_2LD_5       3911284    3553266    5619930     442420   37310334    2315204
LD        454371_17_LD_7     1932286    6479205    6148829    1351577   19174152    2754748
LD        840258_3_LD_6      1100679    5586106    4655622     728967   16405962    1951518
HD        340299_35_22_HD    1742442    4520591    5846064     350616   21393689    1951430
HD        840295_40_HD_27     412937    1627793    1394089     192959    3130432     940166
HD        840295_42_HD        874391    2929742    2759472     212855   14485493     529905
